attributecolumnname,attributevalue,conversionrate,conversionmetricname,startdate,enddate
LeadTypeCode,hlbp_affinity,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,qlrlp,0.031088082,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relokntx,0.5,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relorgnr,0.125,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relovrsa,0.20833333,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,dcmf,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,jmalkviewemail,0.25,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rlapppur,0.0896,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,concpresy,0.0126021,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,fbqlvafs,0.014416776,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,payoffhsvrms,0.005192108,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,reloint,0.22222222,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,accaripwrpck,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,"oprp       ",0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relormw,0.4,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rshelios3,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,hgtvtest,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,ihrbbdt,0.0046296297,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lbqleoo2,0.014048866,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lbqlscpe,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,pscalmblpv3,0.009939235,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relocri,1.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carircrivaac,0.19254659,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carirsmovrconco,0.058117863,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,ctaarticle,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lbqlesf,0.010639852,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,valoanlpv1,0.02919708,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,biclientref,0.32806325,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,exppalres,0.0048611574,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,ltqlx3,0.012864902,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,p313dhlplus,0.0,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,relohds,0.16666667,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,freshst,0.009345794,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,acautopur,0.08346457,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,lbqlscrs3,0.0012968914,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,payofforvivr,0.037653614,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,acrcdigitalnr,0.0016977929,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,carirsmovrconpp,0.06465517,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,gslth,0.010819908,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rpreae,0.05,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,rpsf,0.32522395,LTC_close_rate,2021-06-26,2021-09-26
LeadTypeCode,ltqlp,0.0,LTC_close_rate,2021-06-26,2021-09-26
