attributecolumnname,attributevalue,conversionrate,conversionmetricname,startdate,enddate
LeadTypeCode,carirshrvast,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqlscrell,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relogenmill,0.33333334,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,concpresy,0.012189512,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,fbqlvafs,0.013422819,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,payoffhsvrms,0.004854369,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,reloint,0.2,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,reloweblead,0.16746412,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,birealref,0.23529412,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,remktsvprecovr,0.031694077,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carirpelz,0.066401064,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqlobgd,0.006329114,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rmkarmanm,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,exppalres,0.005024179,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ltqlx3,0.013265306,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,p313dhlplus,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relohds,0.2,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lcqlrztc,0.003816794,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ohman,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rlrcpurchiva,0.023966942,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,frqltc2,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,payoffhsvcr,0.0067681894,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carirsmvrcnrt30,0.060214464,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,hlbp_team,0.06431869,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rmrealtorexc,0.008575464,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,bcql,0.007485689,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqlobll,0.014084507,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,reloahrn,0.023809524,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rpfir,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,caripwrpckv1,0.13097712,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carirscod20,0.06790169,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carirsmovrvart,0.12667592,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqleoo7,0.008527132,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relostfe,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ltqlhe,0.011932017,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lbqlscre3,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relocast,0.2,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,avail,0.10404703,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,acspanish,0.08363202,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,nmqlse,0.0022716946,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relonucom,0.04029304,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rgfql,0.0027806743,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rscarihelios2,0.06451613,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,acautob,0.09869848,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carisvcsvnc,0.01294964,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,frqllow,0.025471698,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ltqlp2nd,0.00541513,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,reloccom,0.083333336,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rmamexman,0.25142857,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,relopowr,0.083333336,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rlhap,0.098682016,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rmamexapp,0.26602563,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,acrcpurchiva,0.026173072,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,asqlp,0.002402621,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,lcqlbsre,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rgqllow,0.00996016,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rmkarmapnm,0.012946979,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,rmturbohap,0.033973824,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,fbqlemail,0.0,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,ltqlhe3,0.036308624,LTC_close_rate,2021-06-12,2021-09-12
LeadTypeCode,carictdmxmmar,0.032745592,LTC_close_rate,2021-06-12,2021-09-12
