attributecolumnname,attributevalue,conversionrate,conversionmetricname,startdate,enddate
LeadTypeCode,CARICTEQVA,0.018647166,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RMAMEXCHAT,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RPSFAC,0.2125,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,MIRELOPC,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLJUMBO,0.003824092,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,TLNQLP,0.004759072,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLSCRS1,0.002077478,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELODMOB,0.36363637,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLCIR,0.030927835,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,GSLTP,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLSCRLL,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOCAP,0.25,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOKOHLS,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,BICLIENTREF,0.2075966,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,BLKMLS2,1.85E-04,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARISVCSURV,0.07377049,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PTQLP,0.006273063,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RGQLLOW,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ROCKTESTPURCHAH,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOKNTX,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOUSPS,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOWHR,0.0952381,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,AREXIT,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PTQL1,0.001773712,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOREPUB,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ARMKT,0.014234875,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ROCKCARIREFI,0.03878463,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RSNIRVANAREFI4,0.004449801,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIRSMVRCNPP14,0.02052786,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLSOO1,0.004690117,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLSOO3,0.001527884,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PROGPIESPV2,0.012396694,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOCOMP,0.33333334,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RGQLVA,0.008130081,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARISVCSV,0.035196126,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,IHRHOTT,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PAYOFFCPWCR,0.002891566,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PAYOFFORVCR,0.003012048,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOJABCIR,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOPROC,0.1637931,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARISVCVOM,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CONCPRESJ,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CTAarticle,0.022099448,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLSOO5,0.0027833,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RMKARMAMAN,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIPWRPCKV1,0.020408163,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,MARSMANUAL,0.22727273,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PWRPCKNSV1,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RMAMEXAPP,0.18644068,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ACCADILLAC,0.3219752,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLESF3,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLSCRS2,0.0027339,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELMIHRREFI,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ACFMSEM,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,FBQLESP,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,HOQLVA,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,FRQLPS,0.009267304,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLLPF,0.051779937,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LBQLEOOF,0.00660793,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,PAYOFFORVRMSA,0.024161074,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,LTQLHE3,0.029411765,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RSBKREMKTP,0.00256246,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ACBOA,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOCONTA,0.33333334,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RTQLP1,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,CARIRSWEBVAPP,0.16666667,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QLPGFTB,0.020376176,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOABUD,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,ROCKTESTREFI,0.02247191,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,QSQLTier2,0.005434783,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOFMG,0,LTC_close_rate,2/23/20,5/23/20
LeadTypeCode,RELOUSSS,0.25,LTC_close_rate,2/23/20,5/23/20
